"Name","Used","OrigMB","FinalMB"
"01_reagent_bottle_100ml.glb","original","0.1","0.1"
"02_hot_plate_magnetic_stirrer.glb","original","0.16","0.16"
"03_ring_retort_stand.glb","original","0.06","0.06"
"04_analytical_balance.glb","optimized","0.22","0.19"
"05_burette_50ml.glb","optimized","0.16","0.08"
"06_safety_cabinet_yellow.glb","optimized","0.11","0.1"
"07_lab_coat_hanging.glb","original","0.52","0.52"
"08_b_chner_funnel.glb","original","0.29","0.29"
"09_filter_flask_vacuum_250ml.glb","original","0.21","0.21"
"10_condenser_liebig.glb","original","0.07","0.07"
"11_separatory_funnel.glb","original","0.09","0.09"
"12_desiccator.glb","original","0.89","0.89"
"13_centrifuge.glb","original","0.46","0.46"
"apple_desktop.glb","optimized","1.51","1.34"
"beakers(all-3-in-one).glb","optimized","19.24","16.65"
"bookshelf_cc0.glb","original","4.39","4.39"
"bottle_with_dropper.glb","original","0.55","0.55"
"bunsen_burner.glb","original","6.58","6.58"
"cafeteria_tile_3d_scan.glb","optimized","5.89","0.32"
"carbon_dioxide_fire_extinguisher_-__co2.glb","original","0.25","0.25"
"cc0_-_funnel_3.glb","optimized","4.21","0.91"
"ceiling_lampslights_set-up.glb","original","1.31","1.31"
"ceiling_light_round.glb","original","0.03","0.03"
"crucible_tongs_-_game_ready.glb","optimized","39.87","4.57"
"double_door.glb","optimized","12.4","4.29"
"emergency_shower_with_eye_wash.glb","optimized","59.14","5.99"
"erlenmeyer_flask.glb","original","0.08","0.08"
"fever_thermometer.glb","optimized","0.46","0.32"
"fire_blanket_free_low_poly.glb","optimized","8.71","2.86"
"fire_extinguisher.glb","optimized","5.16","1.84"
"florence_flask.glb","original","0.11","0.11"
"free_pipette__laboratory__low_poly.glb","original","0.33","0.33"
"fume_cupboards.glb","original","1.17","1.17"
"gameready_wash_basin_model.glb","original","0.57","0.57"
"gaming_desktop_pc.glb","optimized","12.5","11.08"
"gas_cylinder_tank_co2_helium_nitrogen.glb","original","2.05","2.05"
"glasses.glb","optimized","6.08","3.42"
"graduated_cylinder.glb","original","1.48","1.48"
"hospital_sharps_container.glb","original","0.1","0.1"
"indoor_plant.glb","optimized","7.22","4.41"
"laboratory_cabinet_storage__pbr_low_poly__free.glb","optimized","18.79","2.41"
"lab_bench.glb","original","1.36","1.36"
"lab_chair.glb","optimized","11.57","4.52"
"laser_thermometer.glb","original","0.31","0.31"
"low_poly_digital_ph_meter.glb","original","0.12","0.12"
"mechanical_pipette.glb","optimized","17.18","10.02"
"microscope_swift_sw380b.glb","optimized","29.17","5.09"
"monster_plant.glb","original","3.66","3.66"
"mortar_and_pestle.glb","optimized","6.84","2.33"
"nitrile_glove_box_v2.glb","original","0.98","0.98"
"office_chair.glb","optimized","2.45","1.57"
"pencil.glb","original","0.02","0.02"
"petri_dish_collection__by_3dlabware.glb","original","4.16","4.16"
"ruler.glb","optimized","5.12","1.65"
"simple_lab_round_bottom_flask.glb","original","1.18","1.18"
"single_spiral_notepad.glb","optimized","4.23","2.62"
"spectrophotometer.glb","original","3.93","3.93"
"stopwatch-284.glb","original","0.69","0.69"
"tactical_first_aid_kit.glb","optimized","14.48","5.18"
"test_tube.glb","original","1.5","1.5"
"test_tube_rack.glb","optimized","0.72","0.64"
"the_3d_periodic_table.glb","original","7.06","7.06"
"the_pen.glb","optimized","2.63","1.17"
"trash_bin.glb","original","2.74","2.74"
"treatment_serum_dropper_bottle.glb","original","6.28","6.28"
"tripod_stand.glb","optimized","1.33","0.67"
"volumetric_flasks.glb","optimized","28.38","5.83"
"wall_clock.glb","optimized","2.74","1.39"
"warning_signs__virus_laboratory.glb","original","0.88","0.88"
"wash_bottle.glb","original","11.2","11.2"
"whiteboard (1).glb","optimized","2.56","0.97"
"window.glb","original","6.64","6.64"
"wooden_spatula.glb","original","0.23","0.23"
"_test_shower_resized.glb","original","5.99","5.99"
